Robert De Niro, [ 0.00040934053749394026 ]
Leonardo DiCaprio, [ 0.0004064458694563116 ]
Tom Hanks, [ 0.0003319192556233973 ]
Morgan Freeman, [ 0.00032146264219525905 ]
Harrison Ford, [ 0.0002949922103662363 ]
Clint Eastwood, [ 0.0002771681535842827 ]
Christian Bale, [ 0.00027216630900145003 ]
Al Pacino, [ 0.0002669267912172132 ]
Tom Hardy, [ 0.0002603071802297635 ]
Michael Caine, [ 0.00025056418952817126 ]
Matt Damon, [ 0.0002454923577780929 ]
Charles Chaplin, [ 0.00024198393056581996 ]
Gary Oldman, [ 0.000239935590726238 ]
James Stewart, [ 0.0002387608409981143 ]
Ralph Fiennes, [ 0.00022951947385528365 ]
Brad Pitt, [ 0.00022784293438907115 ]
Kevin Spacey, [ 0.00022672114845545072 ]
Aamir Khan, [ 0.00022437274398338952 ]
Ben Kingsley, [ 0.0002221408361480793 ]
Bruce Willis, [ 0.00022152293421041905 ]
Martin Sheen, [ 0.00021027791931474074 ]
Hugh Jackman, [ 0.0002086606662767866 ]
Joe Pesci, [ 0.0002051074696174131 ]
F. Murray Abraham, [ 0.00020469476722282358 ]
Thomas Mitchell, [ 0.0001977896338618766 ]
Robert Duvall, [ 0.0001963428630406931 ]
Alec Guinness, [ 0.00019629453143795472 ]
Liam Neeson, [ 0.0001901728097159499 ]
Jack Nicholson, [ 0.00018585624123037018 ]
Mark Hamill, [ 0.00017953300417934882 ]
Ryan Gosling, [ 0.00017863956021239248 ]
Marlon Brando, [ 0.0001775637713458171 ]
Russell Crowe, [ 0.00017749965680840821 ]
Hugo Weaving, [ 0.00017566833486667958 ]
Mark Ruffalo, [ 0.00017549859253120098 ]
Paul Newman, [ 0.00017512652269494535 ]
William Holden, [ 0.00017351986286924517 ]
Daniel Day-Lewis, [ 0.0001723152212924316 ]
Ben Affleck, [ 0.0001688756474565202 ]
John Hurt, [ 0.0001679799369963944 ]
Christopher Walken, [ 0.0001656822892307834 ]
Cillian Murphy, [ 0.00016547213526515986 ]
Ryûnosuke Kamiki, [ 0.00016458623160586894 ]
Christoph Waltz, [ 0.00016444593858727408 ]
Matthew Modine, [ 0.0001639789816507945 ]
Claude Rains, [ 0.00016346702920600468 ]
Emma Stone, [ 0.00016273190684163612 ]
Kenny Baker, [ 0.00016165384668813038 ]
Humphrey Bogart, [ 0.0001605515220783515 ]
John Cazale, [ 0.00016031227692572838 ]
