Leonardo DiCaprio, [ 0.008584276833874093 ]
Jamie Foxx, [ 0.005326771847690647 ]
Christoph Waltz, [ 0.0044496704293223825 ]
Robert De Niro, [ 0.004224440696177559 ]
Al Pacino, [ 0.003940740333490489 ]
Tom Hanks, [ 0.0038793956602083024 ]
Brad Pitt, [ 0.00366970127538931 ]
Christian Bale, [ 0.003649196276809487 ]
Ben Kingsley, [ 0.0035821930590767153 ]
Antonella Attili, [ 0.0033873824336632602 ]
Ralph Fiennes, [ 0.0031984427030073586 ]
Liam Neeson, [ 0.003196682804622623 ]
Diahnne Abbott, [ 0.0031256614464125845 ]
Matt Damon, [ 0.002866466903782473 ]
Karen Gillan, [ 0.0028278327989291704 ]
Tom Hardy, [ 0.0026976553006838482 ]
Gary Oldman, [ 0.0026198257076612856 ]
Morgan Freeman, [ 0.0025980546522218983 ]
Mark Ruffalo, [ 0.002206744184486923 ]
Ryan Gosling, [ 0.0021809393965206672 ]
Michael Caine, [ 0.0021249820887010596 ]
Harrison Ford, [ 0.0020815011117534033 ]
Zoe Saldana, [ 0.0020745485767924244 ]
Kevin Spacey, [ 0.0020469923976154385 ]
Joseph Gordon-Levitt, [ 0.0020330646090076405 ]
Jack Nicholson, [ 0.0019936193660367476 ]
Sumi Shimamoto, [ 0.0019166895602493155 ]
Hugh Jackman, [ 0.0018989199495019666 ]
James Stewart, [ 0.0018842096542094062 ]
Daniel Day-Lewis, [ 0.0018546741527630118 ]
Marlon Brando, [ 0.001849366361326771 ]
Enzo Cannavale, [ 0.0018310175317098713 ]
Harvey Keitel, [ 0.0018240367460883621 ]
Thomas Mitchell, [ 0.001813633664967523 ]
Bruce Willis, [ 0.0017951775881124433 ]
Clint Eastwood, [ 0.0017349189154944303 ]
Frank Adu, [ 0.0016895467277905872 ]
Tim Roth, [ 0.0016770626814459596 ]
Chiwetel Ejiofor, [ 0.0016746979422181325 ]
Eli Wallach, [ 0.001669452163515587 ]
Mélanie Laurent, [ 0.001658050118076904 ]
F. Murray Abraham, [ 0.0016435820973547978 ]
Ellen Burstyn, [ 0.0016025952820257607 ]
Matthew McConaughey, [ 0.0015687506476511658 ]
Robert Duvall, [ 0.0015447721248759312 ]
Josh Brolin, [ 0.0015095648728585874 ]
Faye Dunaway, [ 0.001491264493440821 ]
Mark Hamill, [ 0.0014890434866956935 ]
Ben Affleck, [ 0.0014818211578687917 ]
Chris Hemsworth, [ 0.0014656524901736838 ]
Chieko Baishô, [ 0.001447395629909306 ]
Alan Howard, [ 0.0014454360536853676 ]
Dave Bautista, [ 0.0014409844043806908 ]
Alison Crosbie, [ 0.0014285970070821597 ]
Elizabeth Olsen, [ 0.0014084923787178406 ]
Charles Chaplin, [ 0.0013785959130299535 ]
Jonah Hill, [ 0.0013424666343966973 ]
Scarlett Johansson, [ 0.0013325220708994853 ]
Rumi Hiiragi, [ 0.0013284259157242677 ]
Chris Pratt, [ 0.0012968224453310286 ]
Michael Berryman, [ 0.001285045331537482 ]
Isa Danieli, [ 0.0012849245836560504 ]
Noel Appleby, [ 0.0012663724672144405 ]
Martin Sheen, [ 0.001266054727234903 ]
Billy Crudup, [ 0.0012381255700276504 ]
Aamir Khan, [ 0.001214307701026682 ]
Vin Diesel, [ 0.0012119477332176317 ]
Joe Pesci, [ 0.0012037680352807107 ]
Ryûnosuke Kamiki, [ 0.0011985645190250643 ]
Darsheel Safary, [ 0.0011969183702036624 ]
Victor Argo, [ 0.0011856468265197104 ]
William Holden, [ 0.0011681576242935708 ]
Anne Hathaway, [ 0.0011528979289560709 ]
Diane Keaton, [ 0.0011520889470388498 ]
Emma Stone, [ 0.001115911690436102 ]
Matthew Modine, [ 0.0011138714466703509 ]
Claude Rains, [ 0.001049246062238717 ]
Alec Guinness, [ 0.0010433535374153725 ]
Alexandre Rodrigues, [ 0.0010281459822284345 ]
Russell Crowe, [ 0.0010237562031011264 ]
Emma Thompson, [ 0.001011130453054337 ]
Albert Brooks, [ 0.001004081626429416 ]
Leo Gullotta, [ 0.0010012399353164024 ]
Chris Evans, [ 0.0009980057491503476 ]
Benicio Del Toro, [ 0.0009977913105779683 ]
Toshirô Mifune, [ 0.0009935683435573772 ]
Marion Cotillard, [ 0.0009854635940282086 ]
Philip King, [ 0.0009808321201422998 ]
Steven Bauer, [ 0.0009748089538878051 ]
Michael Gambon, [ 0.0009737156852169489 ]
Michael Keaton, [ 0.0009660230589351584 ]
Mahito Tsujimura, [ 0.0009614772275297924 ]
Alan Rickman, [ 0.0009603794679758632 ]
Adrien Brody, [ 0.0009416580665501053 ]
Orlando Bloom, [ 0.0009390552768954364 ]
Candice Bergen, [ 0.0009389410762323334 ]
Carrie Fisher, [ 0.0009361872818261153 ]
Humphrey Bogart, [ 0.0009325436254285348 ]
Gino Ardito, [ 0.0009238806440413323 ]
Gene Kelly, [ 0.0009091010499864651 ]
Dwight Henry, [ 0.0009052421309287198 ]
John Hurt, [ 0.0009046532140994444 ]
Joseph Melito, [ 0.0009013359227307171 ]
Margot Robbie, [ 0.000899961972090901 ]
Bradley Cooper, [ 0.0008969997826034009 ]
Judy Garland, [ 0.000894776816438621 ]
Tatsuya Gashûin, [ 0.0008914828788130377 ]
Charlton Heston, [ 0.0008883746370543978 ]
Daniel Brühl, [ 0.0008876705346530389 ]
Ryan O'Neal, [ 0.00088182763199039 ]
Stephen Baldwin, [ 0.0008450282758292743 ]
Amanda Plummer, [ 0.0008370564355218708 ]
Jean Arthur, [ 0.0008300401596685624 ]
Sean Astin, [ 0.000827551221736839 ]
Takashi Shimura, [ 0.000825770198825041 ]
Marco Leonardi, [ 0.0008257648951063118 ]
Spencer Tracy, [ 0.0008199404827778651 ]
Samuel L. Jackson, [ 0.0008153230091258064 ]
Rebecca Williams, [ 0.0008125326382934437 ]
Akihiro Miwa, [ 0.0008066118144822328 ]
Nye Heron, [ 0.0007983540995776313 ]
James Woods, [ 0.0007976767753264073 ]
Takuya Kimura, [ 0.0007823760161671937 ]
Myrna Loy, [ 0.0007805474833104001 ]
Marcello Mastroianni, [ 0.0007746093326715424 ]
Cillian Murphy, [ 0.000766056775452206 ]
Garth Avery, [ 0.0007619634177660468 ]
Joseph Cotten, [ 0.0007545426131082141 ]
John Gielgud, [ 0.0007510368193676186 ]
Robin Williams, [ 0.0007500187291335335 ]
Andrew Garfield, [ 0.0007462108597476706 ]
Paul Newman, [ 0.000743089914447499 ]
Joel Edgerton, [ 0.0007381337017325058 ]
Ellen Page, [ 0.0007336399839393918 ]
Don Cheadle, [ 0.0007322513397197372 ]
Barbara O'Neil, [ 0.0007311999144034658 ]
Jodie Foster, [ 0.0007293366064177407 ]
Hugo Weaving, [ 0.0007188464985038731 ]
Miyu Irino, [ 0.0007180680625536565 ]
Jim Carrey, [ 0.0007177347882714303 ]
Marilyn Monroe, [ 0.0007155168422324144 ]
Mackenzie Foy, [ 0.0007128560103031261 ]
John Cazale, [ 0.0007121767200536161 ]
Pupella Maggio, [ 0.0007057819616293249 ]
Sebastian Stan, [ 0.0007047900031376076 ]
Leopoldo Trieste, [ 0.0006947087799628341 ]
Peter Brocco, [ 0.00069461909812837 ]
Daniel Radcliffe, [ 0.0006880622181102214 ]
Michelle Pfeiffer, [ 0.0006840764588686349 ]
Anthony Brophy, [ 0.0006823539312629326 ]
Christopher Walken, [ 0.000681938390344608 ]
Mitsuo Iwata, [ 0.000676742301286205 ]
Hisako Kyôda, [ 0.0006747208614244157 ]
Peter Lorre, [ 0.0006683298602352536 ]
Jake Gyllenhaal, [ 0.0006672936786744074 ]
Tom Sizemore, [ 0.0006616443011491487 ]
Lee Pace, [ 0.0006612227615662014 ]
Edward Fox, [ 0.0006589060184086569 ]
Jack Hawkins, [ 0.0006564170921906671 ]
Vincent Cassel, [ 0.0006515109755734957 ]
Peter Boyle, [ 0.0006512507844154252 ]
Minnie Driver, [ 0.0006430375752978157 ]
Tatsuya Nakadai, [ 0.0006398020606169992 ]
Robert Downey Jr., [ 0.0006370983079210009 ]
Johnny Depp, [ 0.000635741682216007 ]
Dickie Gravois, [ 0.0006352576357394505 ]
Arnold Schwarzenegger, [ 0.0006330949831871051 ]
Edward Norton, [ 0.0006287060577855672 ]
Rachel McAdams, [ 0.0006231036511964266 ]
Ingrid Bergman, [ 0.000622930025831284 ]
Billy Bob Thornton, [ 0.000621254975686349 ]
Agnese Nano, [ 0.0006182031780694831 ]
Alexandra Maria Lara, [ 0.0006180699110377671 ]
Mustafa Kamel, [ 0.0006180034041967834 ]
