Gunnar Björnstrand, [ 8.319388983942301e-05 ]
Liv Ullmann, [ 8.131099214721873e-05 ]
Jörgen Lindström, [ 8.131099214721854e-05 ]
Margaretha Krook, [ 8.131099214721845e-05 ]
John Ratzenberger, [ 7.870372703509757e-05 ]
Sherry Lynn, [ 7.688710593842855e-05 ]
Bess Flowers, [ 7.578978281745366e-05 ]
Sigourney Weaver, [ 7.529911410417077e-05 ]
William H. O'Brien, [ 7.449321054353312e-05 ]
John Hurt, [ 7.427868297807142e-05 ]
Mickie McGowan, [ 7.420933315234268e-05 ]
Nikolay Grinko, [ 7.420348610578737e-05 ]
Ian Holm, [ 7.419587870247529e-05 ]
Steve Buscemi, [ 7.367725073756285e-05 ]
Jan Rabson, [ 7.358422188040961e-05 ]
Harry Dean Stanton, [ 7.353694642984499e-05 ]
Bob Bergen, [ 7.339046417966488e-05 ]
Barry Humphries, [ 7.33277762739616e-05 ]
Eric Bana, [ 7.332777627396152e-05 ]
Gino Corrado, [ 7.29389797201835e-05 ]
E. Kostin, [ 7.273153830672335e-05 ]
Yaphet Kotto, [ 7.27315383067232e-05 ]
Sergey Yakovlev, [ 7.273153830672319e-05 ]
Veronica Cartwright, [ 7.273153830672318e-05 ]
Eddie Powell, [ 7.273153830672316e-05 ]
Anatoliy Solonitsyn, [ 7.273153830672316e-05 ]
Vladimir Zamanskiy, [ 7.273153830672314e-05 ]
Faime Jurno, [ 7.273153830672311e-05 ]
Natalya Abramova, [ 7.273153830672311e-05 ]
Helen Horton, [ 7.27315383067231e-05 ]
Aleksandr Kaydanovskiy, [ 7.273153830672308e-05 ]
Bolaji Badejo, [ 7.273153830672307e-05 ]
Raymo Rendi, [ 7.273153830672304e-05 ]
Carrie-Anne Moss, [ 7.231306710985574e-05 ]
Joe Pantoliano, [ 7.231306710985554e-05 ]
Phil Proctor, [ 7.231271262179188e-05 ]
Laraine Newman, [ 7.225417321288763e-05 ]
Teresa Ganzel, [ 7.225417321288757e-05 ]
Arthur Tovey, [ 7.222346971112853e-05 ]
Pete Docter, [ 7.211889690700711e-05 ]
Philip Seymour Hoffman, [ 7.205965412423694e-05 ]
Bob Peterson, [ 7.199423204777305e-05 ]
Paul Eiding, [ 7.198346370636915e-05 ]
Keith David, [ 7.188935777378159e-05 ]
Harold Miller, [ 7.188705854388763e-05 ]
Mark Boone Junior, [ 7.188110512022479e-05 ]
Aurore Clément, [ 7.183376949094625e-05 ]
Stephen Tobolowsky, [ 7.177125125575444e-05 ]
Crispin Freeman, [ 7.172859066542368e-05 ]
Franklyn Farnum, [ 7.17046031113168e-05 ]
Russ Fega, [ 7.168394784163166e-05 ]
Jonah Hill, [ 7.166777234741018e-05 ]
Frank Welker, [ 7.165429428673391e-05 ]
Tony Chiu-Wai Leung, [ 7.16331813196041e-05 ]
Jeff Pidgeon, [ 7.15204198146738e-05 ]
Alfred Hitchcock, [ 7.145108977656065e-05 ]
Sam Harris, [ 7.144195793309245e-05 ]
James Earl Jones, [ 7.14060852614723e-05 ]
Marianne Muellerleile, [ 7.133091652792576e-05 ]
Donald Fullilove, [ 7.125066921966183e-05 ]
Hugo Weaving, [ 7.123778232910063e-05 ]
Edward Binns, [ 7.123510116498663e-05 ]
Paul Power, [ 7.119893160614716e-05 ]
Herschel Graham, [ 7.119234236374867e-05 ]
Robin Atkin Downes, [ 7.11804505298871e-05 ]
Kieron Elliott, [ 7.118045052988707e-05 ]
Craig Ferguson, [ 7.118045052988706e-05 ]
Kristen Wiig, [ 7.1180450529887e-05 ]
Philip McGrade, [ 7.118045052988695e-05 ]
David Tennant, [ 7.118045052988692e-05 ]
Ashley Jensen, [ 7.118045052988691e-05 ]
America Ferrera, [ 7.11804505298869e-05 ]
Christopher Mintz-Plasse, [ 7.118045052988688e-05 ]
Gerard Butler, [ 7.118045052988684e-05 ]
T.J. Miller, [ 7.118045052988684e-05 ]
Jess Harnell, [ 7.1168688099519e-05 ]
John Cygan, [ 7.116868809951876e-05 ]
Véra Clouzot, [ 7.111384932377893e-05 ]
Charles Vanel, [ 7.111384932377892e-05 ]
Lance Henriksen, [ 7.111094684446937e-05 ]
Quentin Tarantino, [ 7.108623442044409e-05 ]
Burnell Tucker, [ 7.103657072918994e-05 ]
Colin Kenny, [ 7.103647140163565e-05 ]
Andrew Stanton, [ 7.097359824396242e-05 ]
Cheech Marin, [ 7.097062562697082e-05 ]
Luke Burnyeat, [ 7.09218815871997e-05 ]
Henry Fonda, [ 7.091463618572112e-05 ]
Thomas Lennon, [ 7.090101624146434e-05 ]
Larry Holden, [ 7.090101624146429e-05 ]
Bethany Whitmore, [ 7.083167736845154e-05 ]
Shaun Patten, [ 7.083167736845149e-05 ]
Ian 'Molly' Meldrum, [ 7.083167736845144e-05 ]
Leanne Smith, [ 7.083167736845137e-05 ]
John Flaus, [ 7.083167736845134e-05 ]
Julie Forsyth, [ 7.083167736845131e-05 ]
Carolyn Shakespeare-Allen, [ 7.083167736845129e-05 ]
Christopher Massey, [ 7.083167736845125e-05 ]
Renée Geyer, [ 7.083167736845122e-05 ]
Michael Ienna, [ 7.083167736845119e-05 ]
Jorja Fox, [ 7.082656893179969e-05 ]
Buzz Visconti, [ 7.082656893179961e-05 ]
Harriet Sansom Harris, [ 7.082656893179957e-05 ]
Kimberly Campbell, [ 7.082656893179949e-05 ]
Callum Keith Rennie, [ 7.08265689317994e-05 ]
Samuel L. Jackson, [ 7.077028242229272e-05 ]
Norman Stevans, [ 7.075577560852944e-05 ]
Monty O'Grady, [ 7.069516601826566e-05 ]
John Carpenter, [ 7.065883297501394e-05 ]
Billy Crystal, [ 7.064150151855664e-05 ]
Rudy Bond, [ 7.054930856192897e-05 ]
Alex Ball, [ 7.052539918436878e-05 ]
Keenan Wynn, [ 7.050670181210251e-05 ]
Richard Attenborough, [ 7.049514641176789e-05 ]
Bert Stevens, [ 7.043582838447119e-05 ]
Willem Dafoe, [ 7.040880697698798e-05 ]
Carol Kane, [ 7.038068114928394e-05 ]
Danny Mann, [ 7.036716284635733e-05 ]
Chris Sarandon, [ 7.035691731080665e-05 ]
Mona Marshall, [ 7.033809634860214e-05 ]
Edward James Olmos, [ 7.032285768991598e-05 ]
Teddy Newton, [ 7.029965839542436e-05 ]
Gael García Bernal, [ 7.027806555627496e-05 ]
Stevo Polyi, [ 7.027128765135757e-05 ]
Michael Madsen, [ 7.027128765135753e-05 ]
Allison Janney, [ 7.023776927318983e-05 ]
Szu-Ying Chien, [ 7.022100805045061e-05 ]
Rebecca Pan, [ 7.022100805045061e-05 ]
Kam-Wah Koo, [ 7.022100805045057e-05 ]
Roy Cheung, [ 7.022100805045057e-05 ]
Po-chun Chow, [ 7.022100805045056e-05 ]
Hsien Yu, [ 7.022100805045053e-05 ]
Tung Cho 'Joe' Cheung, [ 7.022100805045051e-05 ]
Charles de Gaulle, [ 7.02210080504505e-05 ]
Man-Lei Chan, [ 7.02210080504505e-05 ]
Paulyn Sun, [ 7.022100805045049e-05 ]
Ping Lam Siu, [ 7.022100805045046e-05 ]
Julien Carbon, [ 7.022100805045046e-05 ]
Laurent Courtiaud, [ 7.022100805045045e-05 ]
Kelly Lai Chen, [ 7.022100805045042e-05 ]
Lee J. Cobb, [ 7.021241117304819e-05 ]
Thomas Martin, [ 7.020151631347868e-05 ]
Steve Carruthers, [ 7.020090531604633e-05 ]
Joe Ranft, [ 7.017207299080103e-05 ]
George Sanders, [ 7.015376170430048e-05 ]
Christian Brocard, [ 7.013572065250392e-05 ]
David Clennon, [ 7.012163975001532e-05 ]
Stephen Root, [ 7.010410607698307e-05 ]
Joan Allen, [ 7.008652307881992e-05 ]
Jim Ward, [ 7.008012554600296e-05 ]
Peter Maloney, [ 7.007444362463158e-05 ]
Steve Kramer, [ 7.00426975883422e-05 ]
Norbert Weisser, [ 7.000705483770371e-05 ]
Brandon Beach, [ 6.997889197449359e-05 ]
Max von Sydow, [ 6.997845060780175e-05 ]
Robert Ruth, [ 6.997434850436923e-05 ]
Brad Pitt, [ 6.995813712652675e-05 ]
Sharon Menzel, [ 6.992779069189535e-05 ]
Sally Norvell, [ 6.992779069189535e-05 ]
Tom Farrell, [ 6.992779069189531e-05 ]
Brandy Tipton, [ 6.992779069189527e-05 ]
Claresie Mobley, [ 6.992779069189527e-05 ]
The Mydolls, [ 6.992779069189526e-05 ]
Hunter Carson, [ 6.992779069189526e-05 ]
Bernhard Wicki, [ 6.992779069189524e-05 ]
Dean Stockwell, [ 6.992779069189524e-05 ]
Jeni Vici, [ 6.992779069189524e-05 ]
Justin Hogg, [ 6.992779069189523e-05 ]
Sam Berry, [ 6.992779069189523e-05 ]
Edward Fayton, [ 6.992779069189523e-05 ]
Viva, [ 6.99277906918951e-05 ]
Socorro Valdez, [ 6.992779069189504e-05 ]
Nastassja Kinski, [ 6.992779069189498e-05 ]
John Lurie, [ 6.992779069189492e-05 ]
Glenn Beck, [ 6.991941837680728e-05 ]
Robert Parrish, [ 6.991653948745566e-05 ]
Gunnar Olsson, [ 6.990955049965739e-05 ]
Gunnel Lindblom, [ 6.990955049965732e-05 ]
Josef Norman, [ 6.990955049965722e-05 ]
Ulf Johansson, [ 6.99095504996572e-05 ]
Bibi Andersson, [ 6.990955049965713e-05 ]
Maud Hansson, [ 6.990955049965711e-05 ]
Åke Fridell, [ 6.990955049965709e-05 ]
Lena Bergman, [ 6.990955049965699e-05 ]
Burr Steers, [ 6.99054483962251e-05 ]
Rich Turner, [ 6.990544839622495e-05 ]
Lawrence Bender, [ 6.990544839622487e-05 ]
Linda Kaye, [ 6.990544839622479e-05 ]
Wallace Shawn, [ 6.990335893806526e-05 ]
Joe Turkel, [ 6.989349444187755e-05 ]
E.G. Marshall, [ 6.9875513784168e-05 ]
James Kelly, [ 6.987551378416791e-05 ]
Joseph Sweeney, [ 6.987551378416788e-05 ]
Jack Warden, [ 6.987551378416779e-05 ]
Jack Klugman, [ 6.987551378416773e-05 ]
John Savoca, [ 6.987551378416771e-05 ]
George Voskovec, [ 6.987551378416771e-05 ]
Robert Webber, [ 6.987551378416771e-05 ]
Ed Begley, [ 6.987551378416767e-05 ]
Tom Gorman, [ 6.987551378416763e-05 ]
John Fiedler, [ 6.987551378416761e-05 ]
Walter Stocker, [ 6.987551378416759e-05 ]
Billy Nelson, [ 6.987551378416756e-05 ]
Hans Moebus, [ 6.981090535843316e-05 ]
Geoffrey Rush, [ 6.97731943314031e-05 ]
Nobuo Nakamura, [ 6.970755120412896e-05 ]
Harry Semels, [ 6.969303671672477e-05 ]
Bruce Spence, [ 6.968348176942758e-05 ]
Joseph Oliveira, [ 6.967772459118006e-05 ]
Hal Smith, [ 6.966330878895869e-05 ]
Jena Malone, [ 6.965365262257655e-05 ]
James Coburn, [ 6.96328063263042e-05 ]
Jack Angel, [ 6.96311340247457e-05 ]
Harvey Keitel, [ 6.961542102191653e-05 ]
Shane Rimmer, [ 6.96142420830691e-05 ]
Kelly Macdonald, [ 6.96014692533929e-05 ]
William Zeman, [ 6.959976353416009e-05 ]
Larry Franco, [ 6.959976353416002e-05 ]
Charles Hallahan, [ 6.959976353416002e-05 ]
Joel Polis, [ 6.959976353415999e-05 ]
Richard Masur, [ 6.959976353415997e-05 ]
Wilford Brimley, [ 6.959976353415997e-05 ]
Adrienne Barbeau, [ 6.959976353415995e-05 ]
Thomas G. Waites, [ 6.959976353415992e-05 ]
Nate Irwin, [ 6.959976353415988e-05 ]
T.K. Carter, [ 6.959976353415988e-05 ]
Richard Dysart, [ 6.959976353415986e-05 ]
Donald Moffat, [ 6.959976353415986e-05 ]
Jed, [ 6.959976353415984e-05 ]
Charles Bronson, [ 6.958644361448883e-05 ]
Joe Palma, [ 6.956645941854172e-05 ]
Mari Devon, [ 6.955601640518768e-05 ]
Julie Delpy, [ 6.955441312604014e-05 ]
Hank Mann, [ 6.954086357316811e-05 ]
Eddie Baker, [ 6.95338066885828e-05 ]
Alberto Sordi, [ 6.952385922137476e-05 ]
Paul Reiser, [ 6.950232217982535e-05 ]
Brad Dourif, [ 6.949006077754417e-05 ]
John Rhys-Davies, [ 6.948412113968182e-05 ]
Orlando Bloom, [ 6.947503232510115e-05 ]
John Williams, [ 6.944909213832054e-05 ]
Ricardo Darín, [ 6.944569723601335e-05 ]
William Meader, [ 6.94385783194868e-05 ]
Danny Borzage, [ 6.943229245523536e-05 ]
Paul Bradley, [ 6.941742287676483e-05 ]
David Daniel, [ 6.940038093616745e-05 ]
Stephanie Sheh, [ 6.939979001745723e-05 ]
Cosmo Sardo, [ 6.939686627528269e-05 ]
Derek Pykett, [ 6.936597238345899e-05 ]
Bob Scott, [ 6.936285683638237e-05 ]
Jennifer Darling, [ 6.936058141298458e-05 ]
Sterling Hayden, [ 6.935969781701905e-05 ]
Ron Gilbert, [ 6.93570778295069e-05 ]
Vivian Kubrick, [ 6.934676088540894e-05 ]
Lori Alan, [ 6.934652904254667e-05 ]
Norman Gay, [ 6.933807926569639e-05 ]
Leo White, [ 6.93214704880126e-05 ]
Peter Roy, [ 6.931310685113949e-05 ]
Jeff Goldblum, [ 6.931184879126938e-05 ]
Mark Rolston, [ 6.930672392909988e-05 ]
Walter Bacon, [ 6.930664386965527e-05 ]
Adolf Hitler, [ 6.930025038777893e-05 ]
Leo G. Carroll, [ 6.92806918188195e-05 ]
Austin Pendleton, [ 6.927790715462561e-05 ]
Suzanne Ridgway, [ 6.927277554357005e-05 ]
Gary Riley, [ 6.925322497089084e-05 ]
Casey Siemaszko, [ 6.925322497089082e-05 ]
Frances Lee McCain, [ 6.925322497089078e-05 ]
Elijah Wood, [ 6.924774883647229e-05 ]
Christopher Plummer, [ 6.924586424661166e-05 ]
Trevor Steedman, [ 6.924534809153095e-05 ]
Charles Chaplin, [ 6.924111640098234e-05 ]
David Steen, [ 6.924055869016558e-05 ]
Ray Spiker, [ 6.923372802319915e-05 ]
Robert Duvall, [ 6.922589123099256e-05 ]
Gordon Tanner, [ 6.921426505070115e-05 ]
Elissa Knight, [ 6.921125273666623e-05 ]
Joe Spinell, [ 6.91931082508179e-05 ]
Phyllis Woodward, [ 6.919102778526624e-05 ]
James Donald, [ 6.917794912272489e-05 ]
Frank Baker, [ 6.915972696986344e-05 ]
Tony Fucile, [ 6.914640142710806e-05 ]
Josh Cooley, [ 6.914640142710783e-05 ]
Joseph Palau-Fabre, [ 6.914506651204803e-05 ]
Grégoire Gromoff, [ 6.914506651204797e-05 ]
Seguna, [ 6.914506651204795e-05 ]
Folco Lulli, [ 6.914506651204789e-05 ]
William Tubbs, [ 6.914506651204788e-05 ]
Darling Légitimus, [ 6.914506651204787e-05 ]
Pat Hurst, [ 6.914506651204787e-05 ]
Antonio Centa, [ 6.914506651204785e-05 ]
Peter van Eyck, [ 6.914506651204785e-05 ]
René Baranger, [ 6.914506651204783e-05 ]
Ricardo, [ 6.914506651204781e-05 ]
Jo Dest, [ 6.91450665120478e-05 ]
François Valorbe, [ 6.914506651204778e-05 ]
Jeronimo Mitchell, [ 6.914506651204777e-05 ]
Evelio Larenagas, [ 6.914506651204773e-05 ]
Rico Zermano, [ 6.914506651204773e-05 ]
Darío Moreno, [ 6.914506651204772e-05 ]
Faustini, [ 6.91450665120477e-05 ]
Luis De Lima, [ 6.91450665120476e-05 ]
Rose Lichtenstein, [ 6.914238504244547e-05 ]
Georg John, [ 6.914238504244543e-05 ]
Theodor Loos, [ 6.914238504244539e-05 ]
Heinrich Gotho, [ 6.914238504244534e-05 ]
Peter Stormare, [ 6.91415298940105e-05 ]
Warren Keith, [ 6.914152989401046e-05 ]
Scott Seaton, [ 6.911809091965605e-05 ]
Eijirô Tôno, [ 6.911806230495149e-05 ]
Christopher Lloyd, [ 6.911058120632984e-05 ]
Kirk Thornton, [ 6.90852919821366e-05 ]
Michael McConnohie, [ 6.908529198213654e-05 ]
Edie Mirman, [ 6.907811505693957e-05 ]
Bridget Hoffman, [ 6.907811505693955e-05 ]
Newell Alexander, [ 6.907811505693939e-05 ]
Peter Renaday, [ 6.907811505693938e-05 ]
Ewen Bremner, [ 6.907104204195636e-05 ]
Tom Delmar, [ 6.907104204195624e-05 ]
Barry Norton, [ 6.906995361219709e-05 ]
Mario Meniconi, [ 6.906286254601715e-05 ]
Sergio Leone, [ 6.90628625460171e-05 ]
Leyland Hodgson, [ 6.906035165711251e-05 ]
Jeff Bennett, [ 6.90598394573139e-05 ]
Daamen J. Krall, [ 6.905983945731378e-05 ]
David McCharen, [ 6.905983945731374e-05 ]
Benicio Del Toro, [ 6.904974408663535e-05 ]
Forbes Murray, [ 6.90433763999818e-05 ]
James Cosmo, [ 6.903908042300699e-05 ]
Peter Mullan, [ 6.903908042300674e-05 ]
Sid Troy, [ 6.90382577205873e-05 ]
Carl M. Leviness, [ 6.903477056524337e-05 ]
Henry Bergman, [ 6.902912571253582e-05 ]
Bill Baldwin, [ 6.902780694416791e-05 ]
Slim Pickens, [ 6.902280042813875e-05 ]
Alanna Ubach, [ 6.90228004281386e-05 ]
Herbert Siguenza, [ 6.90228004281386e-05 ]
Michel Simon, [ 6.90228004281386e-05 ]
Laurence Herder, [ 6.90228004281386e-05 ]
